ZCTA5CE10,ALAND10,AWATER10,area
50322,27877246,61021,27918508
50327,48669473,1033149,49664879
50321,30606507,362679,30946811
50161,210950143,862076,211648666
50314,6439448,190273,6624874
50320,48336194,1210837,49510163
51521,222025123,1239037,223296285
51526,108386597,2946471,111402751
51562,87844180,122623,87990264
51530,140236581,133890,140399128
51023,270480351,965139,229115104
51041,184491043,0,184628998
51036,114214650,14621,114328160
51011,1275286,0,1276850
50236,89328918,16604,89277578
50842,674912,0,674623
52530,36739157,247079,36959885
52165,172030285,260065,172181416
51004,212017049,831492,212980105
50459,373316194,2167305,375187773
50470,62885229,0,62838197
50849,303486226,945306,304291170
50843,195833833,32728,195830725
50042,83827836,334754,84147427
50117,71585251,71929,71642184
50058,364071836,160131,364117251
51455,286971140,33785,286980772
52257,40665450,0,40637569
52213,193133869,1352936,194380537
52315,75003645,0,74957089
52228,96875158,52874,96874486
52313,83425511,1534035,84903262
52301,316128706,355929,316276827
50613,325898289,4074613,329723477
50622,64784180,73796,64810843
50670,147693291,1238410,148816251
50619,229317854,1548376,230686154
50636,312191604,1327448,313270521
51449,231509383,1435439,232875858
50563,252570421,747600,253213606
51401,453492483,628517,454025373
51440,66015871,0,65999801
51436,156771998,18207,156771937
52333,223255329,11259238,234417678
52765,78185471,0,78183259
52777,139946616,0,139943761
50477,58455862,0,58410137
50467,709984,0,709419
50606,184256567,58595,184220440
52047,88304462,23661,88296855
52072,87106056,0,87074019
52053,153365300,1174999,154522641
52066,681956,0,681882
52701,1643828,0,1644614
52729,108718701,162683,108888143
51442,448285493,392146,448739945
50325,19913279,310838,20210147
50072,228458740,450129,228775344
50167,102105447,505051,102547668
50061,80154777,1544266,81642413
52554,92616713,2089046,94639872
50133,195971232,995705,196848948
50065,147327583,575406,147800952
52038,76144562,467431,76577101
52623,149863756,1576161,151391934
51331,4328713,2793797,7122029
52002,74769470,0,74771231
52046,119196635,0,119179632
50531,96657746,3791548,100410957
51342,214048965,182669,214165455
52147,187896612,15559,187795014
52135,67530596,31368,67527509
50431,1936776,0,1935266
51601,276049821,292769,276389622
51650,75412280,3096366,78535917
51462,279400187,2153782,281443903
50672,94947054,46229,94917409
50271,172819803,0,172690032
50595,399160086,449052,399334822
50034,161881537,1602666,163364835
50430,160984015,0,160879248
50483,198210428,0,198084279
50206,124112610,69394,124083446
51546,292960399,349623,293461223
51550,1456103,0,1456989
51558,213130775,258206,213514432
50466,354076016,265156,354069977
52163,4602409,0,4599328
