STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
19,52077,1952077,B5,G6350,S,83704995,24155,+42.8209989,-091.5625180,N
19,52730,1952730,B5,G6350,S,94758761,6484650,+41.7756698,-090.3353487,N
19,52060,1952060,B5,G6350,S,408401938,1433257,+42.1062314,-090.6827007,N
19,51439,1951439,B5,G6350,S,223052570,424267,+42.0887888,-095.5903862,N
19,50263,1950263,B5,G6350,S,89811208,191647,+41.5915805,-093.8736392,N
19,50003,1950003,B5,G6350,S,296262168,1824123,+41.6115040,-094.0430263,N
19,50038,1950038,B5,G6350,S,7907934,966305,+41.5250727,-093.9032820,N
19,52637,1952637,B5,G6350,S,172002147,39763,+41.0175437,-091.1459485,N
19,52660,1952660,B5,G6350,S,57330895,36648,+40.9945961,-091.2993703,N
19,51363,1951363,B5,G6350,S,1050241,0,+43.4336891,-094.9467431,N
19,51345,1951345,B5,G6350,S,145805647,498785,+43.4076972,-095.4374735,N
19,52166,1952166,B5,G6350,S,493739,0,+43.0658432,-091.9332897,N
19,50471,1950471,B5,G6350,S,110089036,0,+43.1665683,-092.8764073,N
19,50620,1950620,B5,G6350,S,324589,0,+43.1584250,-092.5905447,N
19,50126,1950126,B5,G6350,S,351532763,342067,+42.4943794,-093.2553997,N
19,50071,1950071,B5,G6350,S,292776820,337362,+42.6486201,-093.5048977,N
19,50064,1950064,B5,G6350,S,40418909,0,+42.1077287,-094.2366303,N
19,50115,1950115,B5,G6350,S,440965745,219589,+41.6832397,-094.5615556,N
19,50432,1950432,B5,G6350,S,1127714,0,+43.2239147,-093.7979541,N
19,51564,1951564,B5,G6350,S,103451375,9676,+41.8095891,-095.9228236,N
19,51555,1951555,B5,G6350,S,403793188,6343466,+41.5601015,-095.9230609,N
19,51523,1951523,B5,G6350,S,133141497,1827730,+41.9152115,-096.0677104,N
19,52641,1952641,B5,G6350,S,548534824,3228786,+40.9924161,-091.5863541,N
19,52649,1952649,B5,G6350,S,119318917,80549,+40.8385670,-091.6121493,N
19,52635,1952635,B5,G6350,S,111404053,1108282,+40.9955615,-091.7585873,N
19,50548,1950548,B5,G6350,S,321533403,1931816,+42.7147686,-094.2253253,N
19,50545,1950545,B5,G6350,S,97206312,45921,+42.7973961,-094.0808633,N
19,52325,1952325,B5,G6350,S,109065817,77376,+41.5842446,-091.9245199,N
19,52334,1952334,B5,G6350,S,43109728,0,+41.7401704,-091.9411035,N
19,52220,1952220,B5,G6350,S,1194245,0,+41.7282344,-091.9983693,N
19,50141,1950141,B5,G6350,S,93619441,158040,+41.8675587,-092.9497109,N
19,50169,1950169,B5,G6350,S,103076354,302211,+41.6552656,-093.3523197,N
19,52556,1952556,B5,G6350,S,457203874,1280676,+41.0241999,-091.9275453,N
19,52533,1952533,B5,G6350,S,227595703,182619,+41.0175380,-092.1571162,N
19,52585,1952585,B5,G6350,S,145151739,748640,+41.1932153,-091.9810008,N
19,52327,1952327,B5,G6350,S,216537935,1069677,+41.4770796,-091.5829879,N
19,52321,1952321,B5,G6350,S,77841390,0,+42.1472280,-090.9832319,N
19,52305,1952305,B5,G6350,S,73493573,0,+42.0191965,-091.3392253,N
19,52212,1952212,B5,G6350,S,60780511,10057,+42.1087973,-091.0902728,N
19,52591,1952591,B5,G6350,S,327567747,281642,+41.3166406,-092.1913738,N
19,50522,1950522,B5,G6350,S,175965366,260029,+43.1920188,-094.1946828,N
19,52619,1952619,B5,G6350,S,94003111,1319433,+40.5252214,-091.5639334,N
19,52624,1952624,B5,G6350,S,1656465,0,+40.7364189,-091.3377231,N
19,52657,1952657,B5,G6350,S,494762,0,+40.7678326,-091.5188193,N
19,51232,1951232,B5,G6350,S,156584013,54498,+43.3086254,-095.8126634,N
19,50207,1950207,B5,G6350,S,366329546,258736,+41.4319664,-092.6375397,N
19,50027,1950027,B5,G6350,S,72300542,591188,+41.4820259,-092.4693678,N
19,50062,1950062,B5,G6350,S,80081240,23079,+41.2355974,-093.2450915,N
19,51534,1951534,B5,G6350,S,259972070,830980,+41.0466261,-095.7146891,N
19,51540,1951540,B5,G6350,S,140723810,658654,+41.0242642,-095.4988723,N
19,50476,1950476,B5,G6350,S,101620767,81814,+43.4468045,-092.7640514,N
19,51051,1951051,B5,G6350,S,8724971,15238,+42.2060913,-095.9649602,N
19,51010,1951010,B5,G6350,S,175387775,925350,+42.0861460,-095.9095039,N
19,51055,1951055,B5,G6350,S,172795960,1896488,+42.2219158,-096.2610658,N
19,52536,1952536,B5,G6350,S,159982929,150782,+40.9574657,-092.6089099,N
19,51630,1951630,B5,G6350,S,65739953,0,+40.6010192,-095.1913363,N
19,51631,1951631,B5,G6350,S,95638364,212938,+40.5914177,-095.0099985,N
19,50536,1950536,B5,G6350,S,366256005,3976489,+43.1182618,-094.7054813,N
19,51031,1951031,B5,G6350,S,605051258,60585,+42.7985467,-096.1862168,N
19,51028,1951028,B5,G6350,S,328877363,53611,+42.5966550,-095.9876399,N
19,51001,1951001,B5,G6350,S,360544871,317456,+42.8299418,-096.5272332,Y
19,50574,1950574,B5,G6350,S,288134473,0,+42.7166702,-094.6986501,N
19,50131,1950131,B5,G6350,S,56477726,8189213,+41.6921198,-093.7151564,N
19,51542,1951542,B5,G6350,S,92260796,619914,+41.4315171,-095.8490852,N
19,51577,1951577,B5,G6350,S,206915861,63177,+41.4636129,-095.2037684,N
19,50836,1950836,B5,G6350,S,231152011,1676716,+40.6322850,-094.4974841,N
19,50835,1950835,B5,G6350,S,43864480,130304,+40.7062989,-094.3754853,N
19,50074,1950074,B5,G6350,S,125812204,2003718,+40.8659305,-094.0801331,N
19,52722,1952722,B5,G6350,S,68714054,4447571,+41.5742986,-090.4715279,N
19,52767,1952767,B5,G6350,S,1725980,1628662,+41.5658523,-090.4234562,N
19,52803,1952803,B5,G6350,S,13273300,794735,+41.5389466,-090.5559767,N
19,51578,1951578,B5,G6350,S,96684,0,+41.7193565,-095.3945573,N
